# filename,time,alignment_error,fits_error,lowflux_comp1,lowflux_comp2,lowflux_comp3,lowflux_comp4,lowflux_comp5,lowflux_comp6,lowflux_target,outofframe_comp1,outofframe_comp2,outofframe_comp3,outofframe_comp4,outofframe_comp5,outofframe_comp6,outofframe_target,skybg_comp1,skybg_comp2,skybg_comp3,skybg_comp4,skybg_comp5,skybg_comp6,skybg_target
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419083912.FITS.gz",2457862.863205848,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419084212.FITS.gz",2457862.86528693,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419084512.FITS.gz",2457862.867368347,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419084812.FITS.gz",2457862.8694618484,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419085113.FITS.gz",2457862.8715551184,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419085412.FITS.gz",2457862.873624996,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419085712.FITS.gz",2457862.8757065176,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419090012.FITS.gz",2457862.8777876915,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419090312.FITS.gz",2457862.8798690746,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419090612.FITS.gz",2457862.881961696,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
