# FINAL TIMESERIES OF TrES-3 b
# BJD_TDB,Orbital Phase,Flux,Uncertainty,Model,Airmass
2457862.8132071206, -0.010655405938850837, 0.9752325004013057, 0.01779247670071835, 0.9786524918141452, 0.9632203076930058
2457862.815289395, -0.0090612426746354, 0.9904777383046214, 0.017791342621850163, 0.9761864197275103, 0.9653180709307291
2457862.8173705232, -0.007467956767948647, 0.9804546662336859, 0.017790240392354627, 0.9740852640953142, 0.9673614272187321
2457862.8194518606, -0.005874510790749771, 0.9629474418207705, 0.017789177938058908, 0.9723826103684728, 0.9693352607868955
2457862.821532966, -0.004281242352782627, 0.9445472001788795, 0.017788141228552858, 0.9710938108246528, 0.9712652617232991
2457862.8236260857, -0.0026787760991955623, 0.9825183563083385, 0.017787129654001543, 0.9702144571433605, 0.9731522827181976
2457862.825707411, -0.0010853393911132159, 0.9896844449195152, 0.017786152442933714, 0.9697462528426902, 0.9749787846831395
2457862.827788493, 0.0005079112216298531, 0.9603163259156171, 0.017785204956334275, 0.9696750584752608, 0.9767530980862967
2457862.8298696913, 0.0021012506039888024, 0.9616086087543763, 0.017784290715476096, 0.9699993541181046, 0.9784683045632532
2457862.831950889, 0.003694589629843259, 0.9677159189087854, 0.01778339781523489, 0.9707252983684251, 0.9801464665341219
2457862.834044136, 0.005297153565658241, 0.9542850112351896, 0.017782525817831647, 0.9718698211524839, 0.9817882020676914
2457862.836124663, 0.0068899788685550245, 0.9748409318936679, 0.01778168413484209, 0.9734233748481244, 0.983375548399679
2457862.838217134, 0.008491948867903942, 0.9597438985240778, 0.01778086193426561, 0.9753952754924279, 0.9849287031489169
2457862.8402870237, 0.010076630538932319, 0.9857933416047282, 0.017780076047396374, 0.977722484971479, 0.9864156206979888
2457862.8423684994, 0.011670182397962192, 0.972860139920361, 0.017779304043414924, 0.9803911033444541, 0.9878785212177851
2457862.8444613875, 0.01327247146882199, 0.9848315484264472, 0.017778549698455194, 0.9833335245331888, 0.9893101161148145
2457862.846544159, 0.014867015479823553, 0.9836421772836985, 0.017777822390060153, 0.9864248067298695, 0.9906924230685981
2457862.8486251254, 0.016460177322950742, 0.9903065079738976, 0.01777711392134093, 0.9895598100561064, 0.9920408352188528
2457862.8507058946, 0.018053188364682338, 0.9920414685987853, 0.01777642724557265, 0.9926064186207603, 0.9933495721954374
2457862.852787347, 0.019646722398488137, 1.015997811660821, 0.017775762721944463, 0.9954078145694987, 0.9946177814466386
2457862.8548682905, 0.021239866772895744, 0.9980464609482147, 0.017775114162389367, 0.9977754502395487, 0.9958571311147036
2457862.856961803, 0.022842633916265065, 0.9914395249901551, 0.017774480220810938, 0.9994717470572636, 0.997070083154021
2457862.8590432326, 0.024436150481351282, 0.9999008212645379, 0.017773867796868563, 1.0, 0.9982433085705176
2457862.8611243377, 0.026029418562813933, 1.0125287082348418, 0.017773273122438645, 1.0, 0.9993838909091872
2457862.863205848, 0.027622996803175426, 1.0269403946893398, 0.017772695681177543, 1.0, 1.0004927038067384
2457862.86528693, 0.029216247415918495, 1.0062424143380435, 0.017772136837091296, 1.0, 1.001567011858312
2457862.867368347, 0.03080975435538369, 0.9862093698415684, 0.01777159144895749, 1.0, 1.0026165973735106
2457862.8694618484, 0.03241251294264552, 1.017238332900899, 0.017771059307193474, 1.0, 1.0036417818336854
2457862.8715551184, 0.03401509434718003, 1.0039728350380368, 0.017770542758645372, 1.0, 1.004637957604004
2457862.873624996, 0.03559976674909188, 1.0140050932948346, 0.017770046331567608, 1.0, 1.0055962877112854
2457862.8757065176, 0.03719335390206541, 0.9891979539751087, 0.017769561983520945, 1.0, 1.0065322066885654
2457862.8777876915, 0.038786674746191296, 0.9851230049250349, 0.017769094216031935, 1.0, 1.0074369376922427
2457862.8798690746, 0.040380155660829364, 0.9935873419105666, 0.01776863718134418, 1.0, 1.0083217183625186
2457862.881961696, 0.041982240454621345, 0.9932106233747171, 0.01776819227057813, 1.0, 1.0091837964356871
2457862.8840432405, 0.0435758450763144, 0.9826405367267181, 0.01776776282991127, 1.0, 1.0100166185260369
2457862.8861359195, 0.045177974076662075, 0.9950616340215259, 0.017767343526828565, 1.0, 1.0108304631924996
2457862.8882052535, 0.04676223043784411, 0.9806527090951844, 0.017766944317892882, 1.0, 1.011605933452345
2457862.8902862193, 0.04835539192446686, 0.9483271753685487, 0.017766553234753197, 1.0, 1.012366212995455
2457862.8923788057, 0.04995744998042273, 0.9633702108046506, 0.017766171620560642, 1.0, 1.013108651524618
2457862.8944594013, 0.05155032804598275, 0.9697407306842741, 0.017765804304723527, 1.0, 1.0138238016360175
2457862.896540089, 0.053143276699430086, 0.9940940561175667, 0.017765450799070763, 1.0, 1.0145125545199893
2457862.8986218073, 0.05473701429729472, 0.9941409978037926, 0.017765106646081146, 1.0, 1.0151835478222462
2457862.9007141157, 0.056338859520075224, 0.9559549783493906, 0.017764771780998705, 1.0, 1.0158368710146821
2457862.9027934265, 0.0579307539897711, 1.0049489156784532, 0.017764449879810087, 1.0, 1.0164653095590825
2457862.9048723434, 0.05952234685667568, 0.9724797661110708, 0.017764140516457458, 1.0, 1.0170696479392374
2457862.9069630546, 0.061122969269085003, 1.0015829921425863, 0.017763838787802792, 1.0, 1.017659428271907
2457862.9090424925, 0.06271496106450425, 1.0337502458109487, 0.017763548616357875, 1.0, 1.018226950118041
2457862.911121838, 0.06430688191553174, 1.0136364575948957, 0.017763270599467484, 1.0, 1.0187710054816244
2457862.913213, 0.06590784978078351, 1.0116940440388422, 0.017762999817780862, 1.0, 1.019301189807113
2457862.9152920907, 0.06749957562385966, 0.9942139725987691, 0.017762740253115653, 1.0, 1.0198096780614607
2457862.917373959, 0.06909342801616736, 1.0026730619304343, 0.017762491557766165, 1.0, 1.020297118208342
2457862.9194648555, 0.07069419231736024, 1.0002278235078166, 0.01776225016874018, 1.0, 1.0207704673881866
2457862.921543691, 0.07228572279598061, 1.0123367397363559, 0.017762019622066694, 1.0, 1.0212227664116449
2457862.9236227814, 0.07387744863905676, 0.9894158998074384, 0.01776179993345885, 1.0, 1.0216539554310031
2457862.925713805, 0.07547831026597307, 1.0298426806618632, 0.017761586758212943, 1.0, 1.0220725396357964
2457862.9277938674, 0.0770707801339019, 1.019437889841875, 0.01776138399108238, 1.0, 1.0224708506000182
2457862.9298733165, 0.07866278048542874, 1.007357536379358, 0.01776119126518703, 1.0, 1.0228495849006736
2457862.931964861, 0.08026404104085971, 1.0139318856435533, 0.017761005363570604, 1.0, 1.0232150453242688
2457862.934043523, 0.08185543854330851, 1.0171568285181294, 0.01776082935550789, 1.0, 1.023561180065371
2457862.9361233544, 0.08344773158501462, 1.0216520494294101, 0.017760662868375198, 1.0, 1.02388870201157
2457862.938204366, 0.08504092800907648, 1.0251267735189287, 0.01776050414834091, 1.0, 1.0242010445682048
2457862.9402959794, 0.08664224132717074, 0.9973807503201653, 0.0177603530384147, 1.0, 1.024498502450797
2457862.942375116, 0.08823400246419055, 0.99432039904955, 0.01776021192894359, 1.0, 1.0247763548596427
2457862.944465537, 0.08983440277430793, 1.0086159878714998, 0.01776007764777088, 1.0, 1.0250408339934132
2457862.946544072, 0.0914257033075378, 0.9802019047188595, 0.01775995262953306, 1.0, 1.0252871320794543
2457862.948623023, 0.09301732219926956, 1.0155781968723274, 0.017759836397183405, 1.0, 1.0255161757553537
2457862.950713236, 0.09461756315188374, 1.003420746654403, 0.01775972703649813, 1.0, 1.0257317264416073
2457862.952793819, 0.0962104315918228, 0.9975043023701847, 0.017759626307185656, 1.0, 1.0259303058887557
2457862.954884495, 0.09781102726639601, 1.01343630705254, 0.01775953368749754, 1.0, 1.0261129328076217
2457862.956964511, 0.09940346148387669, 1.0043021061934432, 0.01775944903318358, 1.0, 1.0262798829210122
